Vorname,Nachname,Beruf,Land,Notiz,Geburtstag,Alter,für Emma,Geburtsort,Addresse,Telefonnummern,Handynummer,E-Mail
Emma,Brown,Ärztin,GB,besucht Verwandte und schaut sich mit ihnen Hannover an,12.09.91,28,selbst,London,"","","",""
Thomas,Brown,,GB,"",,,Ehemann,,"","","",""
Oliver,Brown,,GB,"",12.09.12,7,Sohn,,"","","",""
Max,Brown,,GB,"",,,Sohn,,"","","",""
Marie,Brown,,GB,"",,,Tochter,,"","","",""
Jochen,Schmidt,IT,DE,"",27.08.72,47,Onkel,Berlin,"Lessingstraße 10, 30159 Hannover",+49 511 4121870,+49 170 1539 602,j.schmidt@vinmar.com
Anna,Schmidt,"Bank, dann Hausfrau",DE,"",05.02.81,38,Tante,,"","","",""
Lukas,Schmidt,,DE,"",23.08.10,9,Cousin,,"","","",""
Emilia,Schmidt,,DE,"",06.05.13,6,Cousine,,"","","",""
Michael,Schmidt,,DE,"",06.05.13,6,Cousin,,"","","",""
Hasso,,Hund,DE,"",,,,,"","","",""
Jürgen,Schulz,Unternehmer,AT,"",,,,,"","","",""
Jacob,Fischer,Programmierer,USA,Tourist in Berlin,"","","","","","","",""
Yui,Nakamura,"","",Touristin aus Japan,"","","","","","","",""
"William ""Bill""",Baker,Bibliothekar,GB,lernt Deutsch als Hobby und für Reisen,"","","","","","","",""
Alessandro,Innocenti,"Schriftsteller ",IT,"recherchiert historisches Ereignis, besucht Museen","","","","","","","",""
Carlos,Santos,Ingenieur bei Isaacs Rejuvenations,BR,besucht Filiale von Isaacs (eine Verjüngungs-Klinik),"","","","","","","",""
Alex,Schulz,Manager bei Isaacs Rejuvenations,DE,"","","","","","","","",""
Svenja,Weber,Personalberaterin bei Isaacs Rejuvenations,DE,"","","","","","","","",""
Sophia,Brooks,Programmiererin bei Vinmar AI,US,"","","","","","","","",""
"Reyansh ""Rey""",Acharya,Programmierer bei Vinmar AI,IN,"","","","","","","","",""
Ali,Alaoui,Ingenieur bei Vinmar AI,MA,"","","","","","","","",""
